"blockTimeRounded","days","playerIndex","parcelIndex","playerTotalFudTerms","playerChangeFudTerms","parcelTotalFudTerms","parcelChangeFudTerms","totalHarvesters","averageHarvesterLevel","totalReservoirs","averageReservoirLevel","totalAltars","averageAltarLevel","totalMakers","averageMakerLevel","destroyValueFudTerms","useCaseName","fudHarvesterLevels","fomoHarvesterLevels","alphaHarvesterLevels","kekHarvesterLevels","fudReservoirLevels","fomoReservoirLevels","alphaReservoirLevels","kekReservoirLevels"
28374261,755.3,0,0,3733908.814040577,0,0,0,11,5.363636363636363,4,3,1,6,1,3,68245.82340779026,"emptyParcelReservoirs","0,1,0,0,0,2,0,0,0","0,0,0,1,0,2,0,0,0","0,0,0,0,0,2,0,0,0","0,0,0,0,1,2,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0"
28374261,755.3,1,0,3731038.0812256914,0,0,0,16,4.8125,4,3,1,6,1,3,69843.04587094067,"emptyParcelReservoirs","0,0,0,1,3,0,0,0,0","0,0,0,0,1,2,0,0,0","0,0,0,0,2,1,0,0,0","0,0,0,5,1,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0"
28374261,755.3,2,0,3649353.4748206604,5.320000000094296,414798.9999999861,0,16,1,4,1,1,2,,,3640.662589776458,"emptyParcelReservoirs","4,0,0,0,0,0,0,0,0","3,0,0,0,0,0,0,0,0","3,0,0,0,0,0,0,0,0","6,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
28374261,755.3,3,0,3660275.2575389943,11.555555556435138,405432.888884899,0,16,1,1,3,1,3,,,5170.035120375087,"emptyParcelReservoirs","16,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
28386783,755.7,0,0,3733908.814040577,0,0,0,11,5.363636363636363,4,3,1,6,1,3,68245.82340779026,"emptyParcelReservoirs","0,1,0,0,0,2,0,0,0","0,0,0,1,0,2,0,0,0","0,0,0,0,0,2,0,0,0","0,0,0,0,1,2,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0"
28386783,755.7,1,0,3731038.0812256914,0,0,0,16,4.8125,4,3,1,6,1,3,69843.04587094067,"emptyParcelReservoirs","0,0,0,1,3,0,0,0,0","0,0,0,0,1,2,0,0,0","0,0,0,0,2,1,0,0,0","0,0,0,5,1,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0"
28386783,755.7,2,0,3649358.7948206607,5.320000000094296,414780.99999998615,0,16,1,4,1,1,2,,,3640.662589776458,"emptyParcelReservoirs","4,0,0,0,0,0,0,0,0","3,0,0,0,0,0,0,0,0","3,0,0,0,0,0,0,0,0","6,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
28386783,755.7,3,0,3660286.8130945507,11.555555556435138,405410.666662675,0,16,1,1,3,1,3,,,5170.035120375087,"emptyParcelReservoirs","16,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0"
28399304,756,0,0,3733908.814040577,0,0,0,11,5.363636363636363,4,3,1,6,1,3,68245.82340779026,"emptyParcelReservoirs","0,1,0,0,0,2,0,0,0","0,0,0,1,0,2,0,0,0","0,0,0,0,0,2,0,0,0","0,0,0,0,1,2,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0"
28399304,756,1,0,3731038.0812256914,0,0,0,16,4.8125,4,3,1,6,1,3,69843.04587094067,"emptyParcelReservoirs","0,0,0,1,3,0,0,0,0","0,0,0,0,1,2,0,0,0","0,0,0,0,2,1,0,0,0","0,0,0,5,1,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0","0,0,1,0,0,0,0,0,0"
28399304,756,2,0,3649364.1148206606,5.320000000094296,414762.99999998615,0,16,1,4,1,1,2,,,3640.662589776458,"emptyParcelReservoirs","4,0,0,0,0,0,0,0,0","3,0,0,0,0,0,0,0,0","3,0,0,0,0,0,0,0,0","6,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0"
